,Country from our model,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Afghanistan,AFG,0.65060365,0.919521,0.99514943,0.99620193,0.99390006,0.99390006,0.99890614,0.9995104,0.9924901,0.9924901,0.9924901,0.9701933,0.9924901,0.6220127,0.3751333,0.5186795,0.38133657,0.2474661,0.2474661,0.2545205,0.56109756,0.58828413,0.596622,0.9464547,0.92320925,0.9746684,0.8589252,0.96908814,0.98256713,0.9587129,0.7907643,0.13280109,0.15749945
1,Albania,ALB,0.11167063,0.01374634,0.09904209,0.17303237,0.063206546,0.010214356,0.00030517168,0.00033040368,0.00023736377,4.5989567e-05,0.00027217096,0.0031453124,0.0023437657,0.00051291945,5.8710062e-05,0.00019476096,0.00018201952,0.0002130565,0.0004044578,0.0021494597,0.022487603,0.27686483,0.18530214,0.18038379,0.005842669,0.005842669,0.007805841,0.007805841,0.006081634,0.006081634,0.004156603,0.0015221091,0.0015221091
2,Algeria,DZA,0.39373335,0.9919246,0.87038493,0.86786807,0.9431259,0.5581905,0.051543444,0.050986562,0.12515387,0.19401135,0.17727335,0.15489936,0.05646695,0.031612292,0.053727657,0.034346938,0.0372106,0.051026136,0.19850908,0.20132065,0.3119557,0.3203218,0.60669124,0.34382913,0.16964036,0.84893167,0.9605753,0.9955864,0.93889433,0.98392385,0.9591593,0.96749395,0.96749395
3,Angola,AGO,0.010971208,0.003740824,0.005054123,0.008829974,0.008697165,0.086565815,0.12127027,0.5822099,0.31372547,0.7065546,0.7258898,0.2693583,0.5880463,0.52799,0.16679308,0.26289514,0.11079373,0.26146168,0.5242566,0.7695506,0.7304644,0.6129271,0.6129271,0.69832754,0.7918351,0.783389,0.56020725,0.45459455,0.16712521,0.010860899,0.38188398,0.12372514,0.014379031
4,Argentina,ARG,0.14589477,0.07760201,0.09456502,0.15316193,0.46193728,0.2566936,0.6858013,0.7875332,0.7875332,0.78073084,0.81986445,0.7856959,0.83972293,0.836633,0.872402,0.39640865,0.16555104,0.065344684,0.12416311,0.22687106,0.12707885,0.12707885,0.07161898,0.07101128,0.03745713,0.78641546,0.83675605,0.9223386,0.81147647,0.81147647,0.8531122,0.8536903,0.14303276
5,Armenia,ARM,0.0012501231,0.29976198,0.0022288423,0.006398544,0.0031802214,0.12281885,0.07597134,0.008318858,0.024700735,0.025406366,0.00822399,0.00029400593,0.00042977327,0.00028659767,0.00045722612,0.015097076,0.29333568,0.9265788,0.98259926,0.985371,0.18936746,0.87448204,0.30656335,0.10476962,0.032362882,0.037354294,0.024827247,0.024237258,0.027028311,0.018043086,0.006525652,0.009867315,0.015944518
6,Australia,AUS,0.0070904368,0.04113136,0.069584936,0.032987278,0.006685773,0.0037083835,0.0012109166,0.0013980903,0.0013980903,0.00094756624,0.0005023501,0.0005023501,0.0009899957,0.04729229,0.107730724,0.34413418,0.21262127,0.2733614,0.02198074,0.111340374,0.097876936,0.097876936,0.042702045,0.0036482015,0.0026578053,0.0026578053,0.0026578053,0.007938152,0.007938152,0.007938152,0.007938152,0.003754793,0.0026578053
7,Austria,AUT,0.00092767266,0.00092767266,0.0017226558,0.0023654094,0.00028361744,0.00017560202,0.0004067747,0.00032156956,0.00088362454,0.00088362454,0.00088362454,0.00081101886,0.0016773056,0.0011799285,0.00081101886,0.0011799285,0.0024195805,0.0024195805,0.0024195805,0.005528664,0.002966729,0.0020569467,0.0020569467,0.0027004133,0.0027004133,0.0008661192,0.0008661192,0.0006485679,0.0006485679,0.0006485679,0.0004933174,0.0004933174,0.0004933174
8,Azerbaijan,AZE,0.00663831,0.023826,0.7230609,0.012556763,0.06111684,0.10115896,0.042534065,0.09636604,0.0278047,0.14148754,0.26125073,0.9160167,0.8900062,0.9399301,0.5676838,0.3353512,0.23960972,0.097788006,0.97901034,0.98667186,0.9551433,0.80142665,0.5236889,0.6044625,0.7966472,0.86038417,0.6833717,0.11009192,0.24123244,0.43447483,0.705581,0.1941379,0.4450375
9,Bahamas,BHM,0.0009998841,0.0007402841,0.0013960786,0.0011700017,0.0009095065,0.000851878,0.00038867033,0.0025140666,0.004203695,0.004735805,0.010952395,0.0014615969,0.0007750505,0.00036976952,0.00056114915,0.00071611564,0.00071611564,0.00071611564,0.00087315874,0.0012600158,0.00063501846,0.00037632906,0.0007413416,0.0004204315,0.0007094155,0.0017704354,0.0017704354,0.0017704354,0.0018143359,0.0018143359,0.0014882683,0.0016335961,0.0016335961
