,Country,Year,Year -1,Year -2,Year -3,Year -4,Year -5
,Lebanon,1975,1974,1973,1972,1971,1970
,Mozambique,1975,1974,1973,1972,1971,1970
,Angola,1975,1974,1973,1972,1971,1970
,Indonesia,1976,1975,1974,1973,1972,1971
,Afghanistan,1978,1977,1976,1975,1974,1973
,Somalia,1978,1977,1976,1975,1974,1973
,El Salvador,1979,1978,1977,1976,1975,1974
,Sudan,1983,1982,1981,1980,1979,1978
,Sri Lanka,1983,1982,1981,1980,1979,1978
,Yemen,1986,1985,1984,1983,1982,1981
,Somalia,1986,1985,1984,1983,1982,1981
,Philippines,1986,1985,1984,1983,1982,1981
,South Korea,1987,1986,1985,1984,1983,1982
,Burma (Myanmar),1988,1987,1986,1985,1984,1983
,Afghanistan,1989,1988,1987,1986,1985,1984
,Liberia,1989,1988,1987,1986,1985,1984
,Venezuela,1989,1988,1987,1986,1985,1984
,Rwanda,1990,1989,1988,1987,1986,1985
,Senegal,1990,1989,1988,1987,1986,1985
,Bangladesh,1990,1989,1988,1987,1986,1985
,Nepal,1990,1989,1988,1987,1986,1985
,Georgia,1991,1990,1989,1988,1987,1986
,Iraq,1991,1990,1989,1988,1987,1986
,Sierra Leone,1991,1990,1989,1988,1987,1986
,Algeria,1991,1990,1989,1988,1987,1986
,Tajikistan,1992,1991,1990,1989,1988,1987
,Afghanistan,1992,1991,1990,1989,1988,1987
,Peru,1992,1991,1990,1989,1988,1987
,Bosnia and Herzegovina,1992,1991,1990,1989,1988,1987
,Thailand,1992,1991,1990,1989,1988,1987
,Burundi,1993,1992,1991,1990,1989,1988
,Yemen,1994,1993,1992,1991,1990,1989
,Iraq,1994,1993,1992,1991,1990,1989
,Bahrain,1994,1993,1992,1991,1990,1989
,Afghanistan,1996,1995,1994,1993,1992,1991
,Democratic Republic of the Congo,1996,1995,1994,1993,1992,1991
,Nepal,1996,1995,1994,1993,1992,1991
,Nepal,1996,1995,1994,1993,1992,1991
,Albania,1997,1996,1995,1994,1993,1992
,Democratic Republic of the Congo,1997,1996,1995,1994,1993,1992
,Guinea-Bissau,1998,1997,1996,1995,1994,1993
,Indonesia,1998,1997,1996,1995,1994,1993
,Democratic Republic of the Congo,1999,1998,1997,1996,1995,1994
,Iran,1999,1998,1997,1996,1995,1994
,Liberia,1999,1998,1997,1996,1995,1994
,Philippines,2001,2000,1999,1998,1997,1996
,Ivory Coast,2002,2001,2000,1999,1998,1997
,Argentina,2002,2001,2000,1999,1998,1997
,Sudan,2003,2002,2001,2000,1999,1998
,Democratic Republic of the Congo,2004,2003,2002,2001,2000,1999
,Ecuador,2005,2004,2003,2002,2001,2000
,Kyrgyzstan,2005,2004,2003,2002,2001,2000
,Iraq,2006,2005,2004,2003,2002,2001
,Armenia,2008,2007,2006,2005,2004,2003
,Somalia,2009,2008,2007,2006,2005,2004
,Madagascar,2009,2008,2007,2006,2005,2004
,Tunisia,2010,2009,2008,2007,2006,2005
,Greece,2010,2009,2008,2007,2006,2005
,Kyrgyzstan,2010,2009,2008,2007,2006,2005
,Ivory Coast,2010,2009,2008,2007,2006,2005
,Ivory Coast,2011,2010,2009,2008,2007,2006
,Maldives,2011,2010,2009,2008,2007,2006
,Sudan,2011,2010,2009,2008,2007,2006
,Syria,2011,2010,2009,2008,2007,2006
,Yemen,2011,2010,2009,2008,2007,2006
,Bahrain,2011,2010,2009,2008,2007,2006
,Libya,2011,2010,2009,2008,2007,2006
,Egypt,2011,2010,2009,2008,2007,2006
,Romania,2012,2011,2010,2009,2008,2007
,Central African Republic,2012,2011,2010,2009,2008,2007
,Mali,2012,2011,2010,2009,2008,2007
,Cambodia,2013,2012,2011,2010,2009,2008
,Thailand,2013,2012,2011,2010,2009,2008
,Tunisia,2013,2012,2011,2010,2009,2008
,Brazil,2013,2012,2011,2010,2009,2008
,Ethiopia,2014,2013,2012,2011,2010,2009
,Libya,2014,2013,2012,2011,2010,2009
,Iraq,2014,2013,2012,2011,2010,2009
,Venezuela,2014,2013,2012,2011,2010,2009
,Burkina Faso,2015,2014,2013,2012,2011,2010
,Afghanistan,2015,2014,2013,2012,2011,2010
,Burundi,2015,2014,2013,2012,2011,2010
,Yemen,2015,2014,2013,2012,2011,2010
,Turkey,2016,2015,2014,2013,2012,2011
,Mozambique,2017,2016,2015,2014,2013,2012
,Iran,2017,2016,2015,2014,2013,2012
,Cameroon,2017,2016,2015,2014,2013,2012
,Haiti,2018,2017,2016,2015,2014,2013
,Sudan,2018,2017,2016,2015,2014,2013
,Iran,2019,2018,2017,2016,2015,2014
,Chile,2019,2018,2017,2016,2015,2014
,Iraq,2019,2018,2017,2016,2015,2014
,Ethiopia,2020,2019,2018,2017,2016,2015
,India,2020,2019,2018,2017,2016,2015
,Thailand,2020,2019,2018,2017,2016,2015
,Belarus,2020,2019,2018,2017,2016,2015
,Nigeria,2021,2020,2019,2018,2017,2016
,Afghanistan,2021,2020,2019,2018,2017,2016
,Cuba,2021,2020,2019,2018,2017,2016
,South Africa,2021,2020,2019,2018,2017,2016
,Colombia,2021,2020,2019,2018,2017,2016
,Burma (Myanmar),2021,2020,2019,2018,2017,2016
,Russia,2021,2020,2019,2018,2017,2016
,Tunisia,2021,2020,2019,2018,2017,2016
,Iran,2022,2021,2020,2019,2018,2017
,Pakistan,2022,2021,2020,2019,2018,2017
,Peru,2022,2021,2020,2019,2018,2017
,Ecuador,2022,2021,2020,2019,2018,2017
,Uzbekistan,2022,2021,2020,2019,2018,2017
,Sri Lanka,2022,2021,2020,2019,2018,2017
,Kazakhstan,2022,2021,2020,2019,2018,2017
,Country,Year,Year -1,Year -2,Year -3,Year -4,Year -5
